id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
1,"Llamé para comunicarle que no iba a ser posible la acción de mandados varios.
Ofrecí la caja de alimentos,me agradeció amablemente,pero me dijo que no la necesitaba.",NEUTRAL,llame para comunicarle que no iba a ser posible la accion de mandados varios ofreci la caja de alimentos me agradecio amablemente pero me dijo que no la necesitaba ,NR
2,Esta muy nervioso por falta de dinero.,NEGATIVO,esta muy nervioso por falta de dinero ,R
3,"18/05/20 - Llamo a AM al 4766-5191. Hablo nuevamente con JOSEFINA, la esposa, esta semana ha transcurrido lo más bien. Ella sigue tratamiento con kinesiólogo 1 vez por semana en el Hospital Vicente Lopez. No requiere asistencia. Está de acuerdo con volver a llamar en 1 semana. 25/05",POSITIVO,_digit_ _digit_ _digit_ - llamo a am al _digit_-_digit_ hablo nuevamente con josefina la esposa esta semana ha transcurrido lo mas bien ella sigue tratamiento con kinesiologo _digit_ vez por semana en el hospital vicente lopez no requiere asistencia esta de acuerdo con volver a llamar en _digit_ semana _digit_ _digit_,R
4,"Buenas tardes. Hable con la esposa, Gilda, me informo que en días anteriores retiro en la salita del barrio un medicamento para el marido y que le dijeron que el otro que falta le tendría que llegar al domicilio o retirarlos por Desarrollo Social. Que retiran la caja de alimentos con normalidad. 
Muchas Gracias",NECESIDADES OPERATIVAS,buenas tardes hable con la esposa gilda me informo que en dias anteriores retiro en la salita del barrio un medicamento para el marido y que le dijeron que el otro que falta le tendria que llegar al domicilio o retirarlos por desarrollo social que retiran la caja de alimentos con normalidad muchas gracias,NEC_OP
5,"Tema Abl, está al tanto pero con sucesión en trámite.",NO RELEVANTE,tema abl esta al tanto pero con sucesion en tramite ,NR
6,hsdbcuabarvrevn,NO RELEVANTE,hsdbcuabarvrevn,NR
7,Se entrega Cuadernillo Estimulación Cognitiva II en domicilio 21/8/20.,NECESIDADES OPERATIVAS,se entrega cuadernillo estimulacion cognitiva ii en domicilio _digit_ _digit_ _digit_ ,NEC_OP
8,"se encuentra muy bien
saludos",POSITIVO,se encuentra muy biensaludos,R
9,"No le interesa, se quiere dar de baja",NO RELEVANTE,no le interesa se quiere dar de baja,NR
10,"Señora muy agradable, me contó que tiene las sobrinas que la asisten que encantada de charlar cuando pueda, que no necesita nada con respecto a medicación o alimentos ya que ellas se lo llevan.",POSITIVO,senora muy agradable me conto que tiene las sobrinas que la asisten que encantada de charlar cuando pueda que no necesita nada con respecto a medicacion o alimentos ya que ellas se lo llevan ,R
11,La Señora Inés Flores se encuentra bien.,POSITIVO,la senora ines flores se encuentra bien ,R
12,El viernes 19 retira su caja,NECESIDADES OPERATIVAS,el viernes _digit_ retira su caja,NEC_OP
13,esta bien y le avise q el vie. q viene le llega la caja de alimentos,NECESIDADES OPERATIVAS,esta bien y le avise q el vie q viene le llega la caja de alimentos,NEC_OP
14,Se encuentra bien,POSITIVO,se encuentra bien,R
15,"sin contestar el llamado
saludos",NO RELEVANTE,sin contestar el llamadosaludos,NR
16,Sin novedad,NO RELEVANTE,sin novedad,NR
17,No responde el llamado.,NO RELEVANTE,no responde el llamado ,NR
18,todo bien,POSITIVO,todo bien,R
19,Se encuentra  bien,POSITIVO,se encuentra bien,R
20,"La AM me dice que todavía no llegó Eva (cuidadora), supuestamente tiene que ir hoy ya que  va los lunes y viernes. Le comento que ayer no pude hablar con Liliana, la Sec. Del médico, ella tampoco pudo. Me pide si puedo intentar hoy nuevamente.",NECESIDADES OPERATIVAS,la am me dice que todavia no llego eva cuidadora  supuestamente tiene que ir hoy ya que va los lunes y viernes le comento que ayer no pude hablar con liliana la sec del medico ella tampoco pudo me pide si puedo intentar hoy nuevamente ,NEC_OP
21,"La sra. expresa haber sido llamada con anterioridad, pero ante la desconfianza no desarrollo el llamado. Quedamos en un proximo llamado, terminando la semana",NO RELEVANTE,la sra expresa haber sido llamada con anterioridad pero ante la desconfianza no desarrollo el llamado quedamos en un proximo llamado terminando la semana,NR
22,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,el dia _digit_ _digit_ _digit_ se entrego alimentos en domicilio,NEC_OP
23,esta bien . salio hacer mandados,POSITIVO,esta bien  salio hacer mandados,R
24,"Quiere saber sobre la entrega de Tablets. Se le rompió la suya, y es algo que a ella le permite distenderse y le gusta mucho navegar por internet.
Elevo la consulta a voluntariosmayores@vicentelopez.gov.ar",NECESIDADES OPERATIVAS,quiere saber sobre la entrega de tablets se le rompio la suya y es algo que a ella le permite distenderse y le gusta mucho navegar por internet elevo la consulta a voluntariosmayores@vicentelopez gov ar,NEC_OP
25,No me pude comunicar,NO RELEVANTE,no me pude comunicar,NR
26,se entrega alimentos en domicilio 31/7/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
27,se encuentra bien vive con su hijo  y marido y esta asitida.,POSITIVO,se encuentra bien vive con su hijo y marido y esta asitida ,R
28,llamado realizado no necesita nada.pregunta si hay turnos en el hospital durante estos días.,NEUTRAL,llamado realizado no necesita nada pregunta si hay turnos en el hospital durante estos dias ,NR
29,Se entrega alimentos en domicilio 24/7/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
30,"Necesita una enfermera para que lo pueda ayudar y darle una inyección y curación de sus piernas ya que tiene  ulcera y necesita controlarsela.

Además se realizó el llamado de despedida.",NECESIDADES OPERATIVAS,necesita una enfermera para que lo pueda ayudar y darle una inyeccion y curacion de sus piernas ya que tiene ulcera y necesita controlarsela ademas se realizo el llamado de despedida ,NEC_OP
31,Hablamos por whatsapp y se encuentra bien,POSITIVO,hablamos por whatsapp y se encuentra bien,R
32,Sin novedad,NO RELEVANTE,sin novedad,NR
33,Seguimos hablando del trámite de los 20000 para comerciantes pero el no reúne los requisitos para solicitarlo.,NEUTRAL,seguimos hablando del tramite de los _digit_ para comerciantes pero el no reune los requisitos para solicitarlo ,NR
34,Se llamo nuevamente pero sale el audio que el teléfono no es correcto o que ha sido desconectado 12.30 hs,NO RELEVANTE,se llamo nuevamente pero sale el audio que el telefono no es correcto o que ha sido desconectado _digit_ _digit_ hs,NR
35,"hoy estuve con maria , fui a llevarle algunas compras por la mañana y ella esta bien. le pude sacar turno con  su oftalmologo. la clinica que ella utiliza ya esta abierta..",POSITIVO,hoy estuve con maria  fui a llevarle algunas compras por la manana y ella esta bien le pude sacar turno con su oftalmologo la clinica que ella utiliza ya esta abierta ,R
36,pedido,NO RELEVANTE,pedido,NR
37,"Bien de ánimo, dolorida por el accidente doméstico. Hoy está muy agradecida con la gestión de DS pues recibió su caja de alimentos.",POSITIVO,bien de animo dolorida por el accidente domestico hoy esta muy agradecida con la gestion de ds pues recibio su caja de alimentos ,R
38,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,NECESIDADES OPERATIVAS,se entrego alimentos en domicilio el _digit_ _digit_ _digit_,NEC_OP
39,"Hable con la esposa de Guillermo para poder completar la ficha en su totalidad, y luego Guillermo me comentó que extrañan muchisimo a sus familiares.",NEGATIVO,hable con la esposa de guillermo para poder completar la ficha en su totalidad y luego guillermo me comento que extranan muchisimo a sus familiares ,R
40,AM indica que se encuentra bien. Tiene a su hijo y a su nuera que  le asisten y dice que no requiere que le volvamos a llamar.,POSITIVO,am indica que se encuentra bien tiene a su hijo y a su nuera que le asisten y dice que no requiere que le volvamos a llamar ,R
41,COMUNICARSE PARA ASIGNARLE TURNO PARA RETIRAR LA CAJA ALIMENTARIA,NECESIDADES OPERATIVAS,comunicarse para asignarle turno para retirar la caja alimentaria,NEC_OP
42,"Se le comunicó a la voluntaria la designación de la Lic VANZANWEGHE Nayla
Inicio 19/6 -",NECESIDADES OPERATIVAS,se le comunico a la voluntaria la designacion de la lic vanzanweghe naylainicio _digit_ _digit_ -,NEC_OP
43,"Animada ,charlamos de lo dificil que es estar encerrada ,ella se consuela cuando la viene a visitar su hijo que pasa para ver como esta y lo ve desde la pueta",NEGATIVO,animada charlamos de lo dificil que es estar encerrada ella se consuela cuando la viene a visitar su hijo que pasa para ver como esta y lo ve desde la pueta,R
44,Saber como  se encontraba,NO RELEVANTE,saber como se encontraba,NR
