id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
1,"Llamé para comunicarle que no iba a ser posible la acción de mandados varios.
Ofrecí la caja de alimentos,me agradeció amablemente,pero me dijo que no la necesitaba.",llame comunicarle iba posible accion mandados ofreci caja alimentos agradecio amablemente necesitaba,NEUTRAL,NR
2,Esta muy nervioso por falta de dinero.,nervioso falta dinero,NEGATIVO,R
3,"18/05/20 - Llamo a AM al 4766-5191. Hablo nuevamente con JOSEFINA, la esposa, esta semana ha transcurrido lo más bien. Ella sigue tratamiento con kinesiólogo 1 vez por semana en el Hospital Vicente Lopez. No requiere asistencia. Está de acuerdo con volver a llamar en 1 semana. 25/05",_digit_ _digit_ _digit_ - llamo am _digit_-_digit_ hablo nuevamente josefina esposa semana transcurrido tratamiento kinesiologo _digit_ semana hospital vicente lopez requiere asistencia acuerdo volver llamar _digit_ semana _digit_ _digit_,POSITIVO,R
4,"Buenas tardes. Hable con la esposa, Gilda, me informo que en días anteriores retiro en la salita del barrio un medicamento para el marido y que le dijeron que el otro que falta le tendría que llegar al domicilio o retirarlos por Desarrollo Social. Que retiran la caja de alimentos con normalidad. 
Muchas Gracias",tardes hable esposa gilda anteriores retiro salita barrio medicamento marido falta llegar domicilio retirarlos desarrollo social retiran caja alimentos normalidad,NECESIDADES OPERATIVAS,NR
5,"Tema Abl, está al tanto pero con sucesión en trámite.",tema abl sucesion tramite,NO RELEVANTE,NR
6,hsdbcuabarvrevn,hsdbcuabarvrevn,NO RELEVANTE,NR
7,Se entrega Cuadernillo Estimulación Cognitiva II en domicilio 21/8/20.,entrega cuadernillo estimulacion cognitiva ii domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
8,"se encuentra muy bien
saludos",saludos,POSITIVO,R
9,"No le interesa, se quiere dar de baja",interesa baja,NO RELEVANTE,NR
10,"Señora muy agradable, me contó que tiene las sobrinas que la asisten que encantada de charlar cuando pueda, que no necesita nada con respecto a medicación o alimentos ya que ellas se lo llevan.",senora agradable conto sobrinas asisten encantada charlar necesita medicacion alimentos llevan,POSITIVO,R
11,La Señora Inés Flores se encuentra bien.,senora flores,POSITIVO,R
12,El viernes 19 retira su caja,viernes _digit_ retira caja,NECESIDADES OPERATIVAS,NR
13,esta bien y le avise q el vie. q viene le llega la caja de alimentos,avise vie viene llega caja alimentos,NECESIDADES OPERATIVAS,NR
14,Se encuentra bien,,POSITIVO,R
15,"sin contestar el llamado
saludos",contestar llamado saludos,NO RELEVANTE,NR
16,Sin novedad,novedad,NO RELEVANTE,NR
17,No responde el llamado.,responde llamado,NO RELEVANTE,NR
18,todo bien,,POSITIVO,R
19,Se encuentra  bien,,POSITIVO,R
20,"La AM me dice que todavía no llegó Eva (cuidadora), supuestamente tiene que ir hoy ya que  va los lunes y viernes. Le comento que ayer no pude hablar con Liliana, la Sec. Del médico, ella tampoco pudo. Me pide si puedo intentar hoy nuevamente.",am eva cuidadora supuestamente lunes viernes pude hablar sec medico pide nuevamente,NECESIDADES OPERATIVAS,NR
21,"La sra. expresa haber sido llamada con anterioridad, pero ante la desconfianza no desarrollo el llamado. Quedamos en un proximo llamado, terminando la semana",expresa llamada anterioridad desconfianza desarrollo llamado quedamos llamado terminando semana,NO RELEVANTE,NR
22,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
23,esta bien . salio hacer mandados,salio mandados,POSITIVO,R
24,"Quiere saber sobre la entrega de Tablets. Se le rompió la suya, y es algo que a ella le permite distenderse y le gusta mucho navegar por internet.
Elevo la consulta a voluntariosmayores@vicentelopez.gov.ar",entrega tablets rompio permite distenderse gusta navegar internet elevo consulta voluntariosmayores@vicentelopez gov ar,NECESIDADES OPERATIVAS,NR
25,No me pude comunicar,pude comunicar,NO RELEVANTE,NR
26,se entrega alimentos en domicilio 31/7/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
27,se encuentra bien vive con su hijo  y marido y esta asitida.,vive hijo marido asitida,POSITIVO,R
28,llamado realizado no necesita nada.pregunta si hay turnos en el hospital durante estos días.,llamado necesita pregunta turnos hospital,NEUTRAL,NR
29,Se entrega alimentos en domicilio 24/7/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
30,"Necesita una enfermera para que lo pueda ayudar y darle una inyección y curación de sus piernas ya que tiene  ulcera y necesita controlarsela.

Además se realizó el llamado de despedida.",necesita enfermera ayudar darle inyeccion curacion piernas ulcera necesita controlarsela llamado despedida,NECESIDADES OPERATIVAS,NR
31,Hablamos por whatsapp y se encuentra bien,hablamos whatsapp,POSITIVO,R
32,Sin novedad,novedad,NO RELEVANTE,NR
33,Seguimos hablando del trámite de los 20000 para comerciantes pero el no reúne los requisitos para solicitarlo.,seguimos hablando tramite _digit_ comerciantes reune requisitos solicitarlo,NEUTRAL,NR
34,Se llamo nuevamente pero sale el audio que el teléfono no es correcto o que ha sido desconectado 12.30 hs,llamo nuevamente sale audio telefono correcto desconectado _digit_ _digit_ hs,NO RELEVANTE,NR
