,id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
1900,1901,hablamos un monton. me cuenta todas las historias. Es un placer como siempre!!!!,POSITIVO,hablamos un monton me cuenta todas las historias es un placer como siempre,R
7054,7055,"Esposa de AM indica que se acercó al club en donde se están repartiendo las cajas de alimentos pero no se la dieron, solicita apoyo con la gestión para obtener el beneficio.",NECESIDADES OPERATIVAS,esposa de am indica que se acerco al club en donde se estan repartiendo las cajas de alimentos pero no se la dieron solicita apoyo con la gestion para obtener el beneficio ,NEC_OP
6982,6983,"ANGELA BIEN, PREPANDO PANQUEQUES",POSITIVO,angela bien prepando panqueques,R
1753,1754,ENCUESTA,NO RELEVANTE,encuesta,NR
8191,8192,"Se hace FU a AM para darle seguimiento a su asistencia, AM indica que se siente contenida con la ayuda que le ha brindado la municipalidad, indica que sigue bajo tratamiento psicológico por el profesional designado por el municipio, continúa con las actividades de lectura y yoga, y a su vez sigue participando de los grupos intrafamiliares que la ayudan con la relación con su hija bipolar. Se consulta si se puede dar de baja para dar lugar a otro AM, ella está de acuerdo, le brindo mi tel persona en caso en que requiera ayuda con algún requerimiento, agradece.",NECESIDADES OPERATIVAS,se hace fu a am para darle seguimiento a su asistencia am indica que se siente contenida con la ayuda que le ha brindado la municipalidad indica que sigue bajo tratamiento psicologico por el profesional designado por el municipio continua con las actividades de lectura y yoga y a su vez sigue participando de los grupos intrafamiliares que la ayudan con la relacion con su hija bipolar se consulta si se puede dar de baja para dar lugar a otro am ella esta de acuerdo le brindo mi tel persona en caso en que requiera ayuda con algun requerimiento agradece ,NEC_OP
2361,2362,sin observaciones en particular.,NO RELEVANTE,sin observaciones en particular ,NR
10947,10948,llamo al telef informado no atiende nadie,NO RELEVANTE,llamo al telef informado no atiende nadie,NR
3925,3926,La sra es asistida por su hija quien vive tambien en el domicilio  . Se halla bien .paciente dializada 3 veces por semana,NEGATIVO,la sra es asistida por su hija quien vive tambien en el domicilio  se halla bien paciente dializada _digit_ veces por semana,R
6666,6667,se entrega alimentos  en domicilio 31/7/20.,NECESIDADES OPERATIVAS,se entrega alimentos en domicilio _digit_ _digit_ _digit_ ,NEC_OP
9171,9172,Siguen bien,POSITIVO,siguen bien,R
3267,3268,se encuentran bien de animo sigo llamando,POSITIVO,se encuentran bien de animo sigo llamando,R
8834,8835,"El AM vive solo, la mayoría del tiempo esta en la casa, casi ni sale. Trata de no mirar TV ni escuchar radio porque se amarga, pero a pesar de eso manifestó que esta bien.",NEGATIVO,el am vive solo la mayoria del tiempo esta en la casa casi ni sale trata de no mirar tv ni escuchar radio porque se amarga pero a pesar de eso manifesto que esta bien ,R
2259,2260,El celular lo tiena apagado y me atiende siempre el contestador,NO RELEVANTE,el celular lo tiena apagado y me atiende siempre el contestador,NR
409,410,"Esta bien, hace menos frío pero se cuida, buena charla y contenta por el llamado.",POSITIVO,esta bien hace menos frio pero se cuida buena charla y contenta por el llamado ,R
4438,4439,Volver a llamar a López Jorge ¡!,NEGATIVO,volver a llamar a lopez jorge ,R
4089,4090,19/8 llamado,NO RELEVANTE,_digit_ _digit_ llamado,NR
9775,9776,"cuando la llamé la acompañaba una vecina.  me indicó que se encontraba bien, que por el momento no necesitaba nada. 
me recordó que se asisten entre los vecinos  y me informó que ya se vacunó contra la gripe.",POSITIVO,cuando la llame la acompanaba una vecina  me indico que se encontraba bien que por el momento no necesitaba nada 
me recordo que se asisten entre los vecinos y me informo que ya se vacuno contra la gripe ,R
1156,1157,En el día de ayer se comunicó conmigo la Lic. Mariana Ramos para conocer el caso de la señora Marcela. Le asignó a la Lic. María Samojeden. Ya le comuniqué a la Sra. Marcela que la llamará en la semana. Muchas gracias!,NECESIDADES OPERATIVAS,en el dia de ayer se comunico conmigo la lic mariana ramos para conocer el caso de la senora marcela le asigno a la lic maria samojeden ya le comunique a la sra marcela que la llamara en la semana muchas gracias,NEC_OP
5984,5985,Telefono de linea no disponible - No contesto el celu,NO RELEVANTE,telefono de linea no disponible - no contesto el celu,NR
5722,5723,Entrega de productos de limpieza,NECESIDADES OPERATIVAS,entrega de productos de limpieza,NEC_OP
6740,6741,Se entrega Cuadernillo Estimulación Cognitiva II en domicilio 21/8/20.,NECESIDADES OPERATIVAS,se entrega cuadernillo estimulacion cognitiva ii en domicilio _digit_ _digit_ _digit_ ,NEC_OP
12707,11277,"Se encontraba bien, hablamos de todo un poco la tenia preocupada todo el hacinamiento de los barrios carenciados todos los casos que están surgiendo y que justo ahora se empiece a levantar la cuarentena.

Me contó de sus papas cuando vinieron de Italia y como lograron armarse y lograr formar su familia  y me contó un poco de todo, me contó que no sabe si cortarse el pelo por que al tenerlo largo por lo menos se puede hacer una colita y es mas practico para que no le moleste.

Sigue con la presión alta por suerte como le suele subir siempre por el frió y desde los 10 años que le pasa que se descompensa y tiene picos de que le sube mucho y después se le baja a veces sola y le suele agarrar por desmayarse por hacer los picos de sincope.

Se encontraba bien pasando los días, me dice que nota menos cantidad de control policial o las patrullas que la tiene preocupara por que no quiere que la gente se desbande hablamos durante una hora y cuarto me agradeció la compañía y los llamados que es un mimo al alma y le hace muy bien conversar con migo. quedamos en hablar el 20/05",NEGATIVO,se encontraba bien hablamos de todo un poco la tenia preocupada todo el hacinamiento de los barrios carenciados todos los casos que estan surgiendo y que justo ahora se empiece a levantar la cuarentena me conto de sus papas cuando vinieron de italia y como lograron armarse y lograr formar su familia y me conto un poco de todo me conto que no sabe si cortarse el pelo por que al tenerlo largo por lo menos se puede hacer una colita y es mas practico para que no le moleste sigue con la presion alta por suerte como le suele subir siempre por el frio y desde los _digit_ anos que le pasa que se descompensa y tiene picos de que le sube mucho y despues se le baja a veces sola y le suele agarrar por desmayarse por hacer los picos de sincope se encontraba bien pasando los dias me dice que nota menos cantidad de control policial o las patrullas que la tiene preocupara por que no quiere que la gente se desbande hablamos durante una hora y cuarto me agradecio la compania y los llamados que es un mimo al alma y le hace muy bien conversar con migo quedamos en hablar el _digit_ _digit_,R
10914,10915,llame en dos ocasiones y no me atendieron,NEGATIVO,llame en dos ocasiones y no me atendieron,R
4817,4818,"REENVIO MSJ DE WSAP A CH, CONSULTANDO SI DESEA CONTINUAR EN EL PROGRAMA",NO RELEVANTE,reenvio msj de wsap a ch consultando si desea continuar en el programa,NR
4632,4633,"NO CONTESTA, INTENTARE MAS TARDE AL CELU , PORQUE EL DE LINEA DICE QUE NO CORRESPONDE A UN CLIENTE, CUANDO PUEDA HABLAR LO CONFIRMO.",NO RELEVANTE,no contesta intentare mas tarde al celu  porque el de linea dice que no corresponde a un cliente cuando pueda hablar lo confirmo ,NR
3859,3860,"La AM se encuentra de exelente estado de ánimo.   no ha podido realizar el curso de uso de celular ,comento .no recibio el link para ingresar ala clase qe se otorga vía zoom .lpor lo qe perdió su primer clase comento. los otros cursos comento qe son por  la red social instagram qe ha tenido dificultades para la correcta instalación de la aplicación.  .estado general muy buena.",POSITIVO,la am se encuentra de exelente estado de animo  no ha podido realizar el curso de uso de celular comento no recibio el link para ingresar ala clase qe se otorga via zoom lpor lo qe perdio su primer clase comento los otros cursos comento qe son por la red social instagram qe ha tenido dificultades para la correcta instalacion de la aplicacion  estado general muy buena ,R
4383,4384,Está dolorida de estar todo el día en cama por la operación. Todavía no recibió los pañales gratis de PAMI (supuestamente no hay stock).,NEGATIVO,esta dolorida de estar todo el dia en cama por la operacion todavia no recibio los panales gratis de pami supuestamente no hay stock ,R
9694,9695,charla,NEUTRAL,charla,NR
10046,10047,"en el dia de la fecha hable con ella, me comento lo que habia realizado en el dia, y me agradecio por mi solidaridad.",NEUTRAL,en el dia de la fecha hable con ella me comento lo que habia realizado en el dia y me agradecio por mi solidaridad ,NR
12850,12076,"Está bien, preocupada por un pariente internado en el Htal. Fernandez por una caída, se cuida del frío, muy agradable charla y agradece el llamado.",NEGATIVO,esta bien preocupada por un pariente internado en el htal fernandez por una caida se cuida del frio muy agradable charla y agradece el llamado ,R
9571,9572,"ambos números no se encuentran disponibles, llame en varias oportunidades en diferentes horarios y la respuesta siempre es la misma",NO RELEVANTE,ambos numeros no se encuentran disponibles llame en varias oportunidades en diferentes horarios y la respuesta siempre es la misma,NR
5986,5987,Se encuentra bien,POSITIVO,se encuentra bien,R
11351,11352,no atendio el llamado,NO RELEVANTE,no atendio el llamado,NR
5300,5301,"Llamo a AM, me atiende AM quien me indica que por el momento no requiere la asistencia. Ella me informa que realiza todos los mandados, ya sea para ir a comprar alimentos y o medicamentos. Agradece de todas formas por el llamado y finaliza la llamada.",NEUTRAL,llamo a am me atiende am quien me indica que por el momento no requiere la asistencia ella me informa que realiza todos los mandados ya sea para ir a comprar alimentos y o medicamentos agradece de todas formas por el llamado y finaliza la llamada ,NR
1723,1724,La Señora Ana Slaukin y su marido Guido se encuentran bien.,POSITIVO,la senora ana slaukin y su marido guido se encuentran bien ,R
7216,7217,Sin novedad,NO RELEVANTE,sin novedad,NR
4033,4034,"No responde.
Salta un contestador",NO RELEVANTE,no responde 
salta un contestador,NR
2280,2281,Sin novedad,NO RELEVANTE,sin novedad,NR
8677,8678,Todo en orden,POSITIVO,todo en orden,R
10731,10732,la señora solicita asistencia para realizar sus compras alimenticias,NEUTRAL,la senora solicita asistencia para realizar sus compras alimenticias,NR
