,id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
1178,1179,El AM dijo que esta disponible siempre y que podemos llamarle aunque no necesite nada en este momento.,POSITIVO,am disponible llamarle necesite,R
12758,13187,se hablo con el marido y con elba esta bien me cuenta que se accidento la hna,NEGATIVO,hablo marido accidento,R
10827,10828,"llamada del día 20/4, se vacunó en el día de hoy en la uap llovera sin problemas a pesar de la cola , esta provista de barbijos, atendida x au nuera. se encuentra bien.",POSITIVO,llamada _digit_ _digit_ vacuno uap llovera problemas cola provista barbijos atendida au nuera,R
3002,3003,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,NECESIDADES OPERATIVAS,entrega cuadernillo estimulacion cognitiva domicilio _digit_ _digit_ _digit_,NEC_OP
8592,8593,Llamé hoy y estaba el contestador.,NO RELEVANTE,llame contestador,NR
243,244,Hoy le entregué la.caja! Felices,NECESIDADES OPERATIVAS,entregue caja felices,NEC_OP
10913,10914,"llamé el miercoles 29/04 en dos oportunidades, ya que el am se encontraba ocupado.  llamé hoy a las 11am y me dijo nuevamente que se encontraba ocupada.  no sé en qué situación se encuentra, volveré a llamar nuevamente el lunes 04/05 por la mañana para saber si quiere seguir recibiendo llamadas para ser asistida.",NEUTRAL,llame miercoles _digit_ _digit_ oportunidades am encontraba ocupado llame _digit_am nuevamente encontraba ocupada situacion volvere llamar nuevamente lunes _digit_ _digit_ manana seguir recibiendo llamadas asistida,NR
6461,6462,Sigo sin poder comunicarme con Lila. Volveré a intentar.,NO RELEVANTE,sigo comunicarme volvere,NR
12330,12331,"sra consulta por vacunas, dice que ioma envía a personal a domicilio para vacunar, se informa que llame a ioma y pregunte, no deje entrar a ningún desconocido al domicilio. no sabe si vacunarse porque dice que nunca lo hizo.",NEUTRAL,consulta vacunas ioma envia personal domicilio vacunar informa llame ioma pregunte deje entrar desconocido domicilio vacunarse,NR
9025,9026,se entrega material cognitivo en domicilio 31/7/20.,NECESIDADES OPERATIVAS,entrega material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
