etiqueta1,etiqueta1a,etiqueta2,etiqueta2a,etiqueta3,etiqueta3a,etiqueta4,etiqueta4a,etiqueta5,etiqueta_final,id,necesidades operativas,texto
,neutral,,neutral,,no relevante,,,,neutral,1,,"Llamé para comunicarle que no iba a ser posible la acción de mandados varios.
Ofrecí la caja de alimentos,me agradeció amablemente,pero me dijo que no la necesitaba."
,negativo,,negativo,,negativo,,,,negativo,2,,Esta muy nervioso por falta de dinero.
,positivo,,positivo,,positivo,,,,positivo,3,,"18/05/20 - Llamo a AM al 4766-5191. Hablo nuevamente con JOSEFINA, la esposa, esta semana ha transcurrido lo más bien. Ella sigue tratamiento con kinesiólogo 1 vez por semana en el Hospital Vicente Lopez. No requiere asistencia. Está de acuerdo con volver a llamar en 1 semana. 25/05"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,4,,"Buenas tardes. Hable con la esposa, Gilda, me informo que en días anteriores retiro en la salita del barrio un medicamento para el marido y que le dijeron que el otro que falta le tendría que llegar al domicilio o retirarlos por Desarrollo Social. Que retiran la caja de alimentos con normalidad. 
Muchas Gracias"
,neutral,,no relevante,,no relevante,,,,no relevante,5,,"Tema Abl, está al tanto pero con sucesión en trámite."
,no relevante,,no relevante,,no relevante,,,,no relevante,6,,hsdbcuabarvrevn
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,7,,Se entrega Cuadernillo Estimulación Cognitiva II en domicilio 21/8/20.
,positivo,,positivo,,positivo,,,,positivo,8,,"se encuentra muy bien
saludos"
,no relevante,,no relevante,,no relevante,,,,no relevante,9,,"No le interesa, se quiere dar de baja"
,positivo,,positivo,,positivo,,,,positivo,10,,"Señora muy agradable, me contó que tiene las sobrinas que la asisten que encantada de charlar cuando pueda, que no necesita nada con respecto a medicación o alimentos ya que ellas se lo llevan."
,positivo,,positivo,,positivo,,,,positivo,11,,La Señora Inés Flores se encuentra bien.
,necesidades operativas,,necesidades operativas,,no relevante,,,,necesidades operativas,12,,El viernes 19 retira su caja
,positivo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,13,,esta bien y le avise q el vie. q viene le llega la caja de alimentos
,positivo,,positivo,,positivo,,,,positivo,14,,Se encuentra bien
,no relevante,,no relevante,,no relevante,,,,no relevante,15,,"sin contestar el llamado
saludos"
,no relevante,,no relevante,,no relevante,,,,no relevante,16,,Sin novedad
,no relevante,,no relevante,,no relevante,,,,no relevante,17,,No responde el llamado.
,positivo,,positivo,,positivo,,,,positivo,18,,todo bien
,positivo,,positivo,,positivo,,,,positivo,19,,Se encuentra  bien
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,20,,"La AM me dice que todavía no llegó Eva (cuidadora), supuestamente tiene que ir hoy ya que  va los lunes y viernes. Le comento que ayer no pude hablar con Liliana, la Sec. Del médico, ella tampoco pudo. Me pide si puedo intentar hoy nuevamente."
,negativo,,no relevante,,no relevante,,,,no relevante,21,,"La sra. expresa haber sido llamada con anterioridad, pero ante la desconfianza no desarrollo el llamado. Quedamos en un proximo llamado, terminando la semana"
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,22,,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,positivo,,positivo,,positivo,,,,positivo,23,,esta bien . salio hacer mandados
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,24,,"Quiere saber sobre la entrega de Tablets. Se le rompió la suya, y es algo que a ella le permite distenderse y le gusta mucho navegar por internet.
Elevo la consulta a voluntariosmayores@vicentelopez.gov.ar"
,no relevante,,no relevante,,no relevante,,,,no relevante,25,,No me pude comunicar
