id,texto,etiqueta_final,texto_ed,etiqueta_etapa0
1,"Llamé para comunicarle que no iba a ser posible la acción de mandados varios.
Ofrecí la caja de alimentos,me agradeció amablemente,pero me dijo que no la necesitaba.",NEUTRAL,llame comunicarle iba posible accion mandados ofreci caja alimentos agradecio amablemente necesitaba,NR
2,Esta muy nervioso por falta de dinero.,NEGATIVO,nervioso falta dinero,R
3,"18/05/20 - Llamo a AM al 4766-5191. Hablo nuevamente con JOSEFINA, la esposa, esta semana ha transcurrido lo más bien. Ella sigue tratamiento con kinesiólogo 1 vez por semana en el Hospital Vicente Lopez. No requiere asistencia. Está de acuerdo con volver a llamar en 1 semana. 25/05",POSITIVO,_digit_ _digit_ _digit_ - llamo am _digit_-_digit_ hablo nuevamente josefina esposa semana transcurrido tratamiento kinesiologo _digit_ semana hospital vicente lopez requiere asistencia acuerdo volver llamar _digit_ semana _digit_ _digit_,R
4,"Buenas tardes. Hable con la esposa, Gilda, me informo que en días anteriores retiro en la salita del barrio un medicamento para el marido y que le dijeron que el otro que falta le tendría que llegar al domicilio o retirarlos por Desarrollo Social. Que retiran la caja de alimentos con normalidad. 
Muchas Gracias",NECESIDADES OPERATIVAS,tardes hable esposa gilda anteriores retiro salita barrio medicamento marido falta llegar domicilio retirarlos desarrollo social retiran caja alimentos normalidad,NEC_OP
5,"Tema Abl, está al tanto pero con sucesión en trámite.",NO RELEVANTE,tema abl sucesion tramite,NR
6,hsdbcuabarvrevn,NO RELEVANTE,hsdbcuabarvrevn,NR
7,Se entrega Cuadernillo Estimulación Cognitiva II en domicilio 21/8/20.,NECESIDADES OPERATIVAS,entrega cuadernillo estimulacion cognitiva ii domicilio _digit_ _digit_ _digit_,NEC_OP
8,"se encuentra muy bien
saludos",POSITIVO,saludos,R
9,"No le interesa, se quiere dar de baja",NO RELEVANTE,interesa baja,NR
10,"Señora muy agradable, me contó que tiene las sobrinas que la asisten que encantada de charlar cuando pueda, que no necesita nada con respecto a medicación o alimentos ya que ellas se lo llevan.",POSITIVO,senora agradable conto sobrinas asisten encantada charlar necesita medicacion alimentos llevan,R
11,La Señora Inés Flores se encuentra bien.,POSITIVO,senora flores,R
12,El viernes 19 retira su caja,NECESIDADES OPERATIVAS,viernes _digit_ retira caja,NEC_OP
13,esta bien y le avise q el vie. q viene le llega la caja de alimentos,NECESIDADES OPERATIVAS,avise vie viene llega caja alimentos,NEC_OP
14,Se encuentra bien,POSITIVO,,R
15,"sin contestar el llamado
saludos",NO RELEVANTE,contestar llamado saludos,NR
16,Sin novedad,NO RELEVANTE,novedad,NR
17,No responde el llamado.,NO RELEVANTE,responde llamado,NR
18,todo bien,POSITIVO,,R
19,Se encuentra  bien,POSITIVO,,R
20,"La AM me dice que todavía no llegó Eva (cuidadora), supuestamente tiene que ir hoy ya que  va los lunes y viernes. Le comento que ayer no pude hablar con Liliana, la Sec. Del médico, ella tampoco pudo. Me pide si puedo intentar hoy nuevamente.",NECESIDADES OPERATIVAS,am eva cuidadora supuestamente lunes viernes pude hablar sec medico pide nuevamente,NEC_OP
21,"La sra. expresa haber sido llamada con anterioridad, pero ante la desconfianza no desarrollo el llamado. Quedamos en un proximo llamado, terminando la semana",NO RELEVANTE,expresa llamada anterioridad desconfianza desarrollo llamado quedamos llamado terminando semana,NR
22,EL DIA 26/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
23,esta bien . salio hacer mandados,POSITIVO,salio mandados,R
24,"Quiere saber sobre la entrega de Tablets. Se le rompió la suya, y es algo que a ella le permite distenderse y le gusta mucho navegar por internet.
Elevo la consulta a voluntariosmayores@vicentelopez.gov.ar",NECESIDADES OPERATIVAS,entrega tablets rompio permite distenderse gusta navegar internet elevo consulta voluntariosmayores@vicentelopez gov ar,NEC_OP
25,No me pude comunicar,NO RELEVANTE,pude comunicar,NR
26,se entrega alimentos en domicilio 31/7/20.,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
27,se encuentra bien vive con su hijo  y marido y esta asitida.,POSITIVO,vive hijo marido asitida,R
28,llamado realizado no necesita nada.pregunta si hay turnos en el hospital durante estos días.,NEUTRAL,llamado necesita pregunta turnos hospital,NR
29,Se entrega alimentos en domicilio 24/7/20.,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
30,"Necesita una enfermera para que lo pueda ayudar y darle una inyección y curación de sus piernas ya que tiene  ulcera y necesita controlarsela.

Además se realizó el llamado de despedida.",NECESIDADES OPERATIVAS,necesita enfermera ayudar darle inyeccion curacion piernas ulcera necesita controlarsela llamado despedida,NEC_OP
31,Hablamos por whatsapp y se encuentra bien,POSITIVO,hablamos whatsapp,R
32,Sin novedad,NO RELEVANTE,novedad,NR
33,Seguimos hablando del trámite de los 20000 para comerciantes pero el no reúne los requisitos para solicitarlo.,NEUTRAL,seguimos hablando tramite _digit_ comerciantes reune requisitos solicitarlo,NR
34,Se llamo nuevamente pero sale el audio que el teléfono no es correcto o que ha sido desconectado 12.30 hs,NO RELEVANTE,llamo nuevamente sale audio telefono correcto desconectado _digit_ _digit_ hs,NR
35,"hoy estuve con maria , fui a llevarle algunas compras por la mañana y ella esta bien. le pude sacar turno con  su oftalmologo. la clinica que ella utiliza ya esta abierta..",POSITIVO,llevarle compras manana pude sacar turno oftalmologo clinica utiliza abierta,R
36,pedido,NO RELEVANTE,pedido,NR
37,"Bien de ánimo, dolorida por el accidente doméstico. Hoy está muy agradecida con la gestión de DS pues recibió su caja de alimentos.",POSITIVO,animo dolorida accidente domestico agradecida gestion ds recibio caja alimentos,R
38,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,NECESIDADES OPERATIVAS,entrego alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
39,"Hable con la esposa de Guillermo para poder completar la ficha en su totalidad, y luego Guillermo me comentó que extrañan muchisimo a sus familiares.",NEGATIVO,hable esposa guillermo completar ficha totalidad guillermo extranan muchisimo familiares,R
40,AM indica que se encuentra bien. Tiene a su hijo y a su nuera que  le asisten y dice que no requiere que le volvamos a llamar.,POSITIVO,am indica hijo nuera asisten requiere volvamos llamar,R
41,COMUNICARSE PARA ASIGNARLE TURNO PARA RETIRAR LA CAJA ALIMENTARIA,NECESIDADES OPERATIVAS,comunicarse asignarle turno retirar caja alimentaria,NEC_OP
42,"Se le comunicó a la voluntaria la designación de la Lic VANZANWEGHE Nayla
Inicio 19/6 -",NECESIDADES OPERATIVAS,comunico voluntaria designacion lic vanzanweghe inicio _digit_ _digit_ -,NEC_OP
43,"Animada ,charlamos de lo dificil que es estar encerrada ,ella se consuela cuando la viene a visitar su hijo que pasa para ver como esta y lo ve desde la pueta",NEGATIVO,animada charlamos dificil encerrada consuela viene visitar hijo pasa ve pueta,R
44,Saber como  se encontraba,NO RELEVANTE,encontraba,NR
45,La llame el 18 /06 Y necesita una medicación para la Artritis .Tome noto y lo voy a informar .,NECESIDADES OPERATIVAS,llame _digit_ _digit_ necesita medicacion artritis noto informar,NEC_OP
46,"Betty me traslado su preocupacion y desconfianza por el programa de voluntariado. Me comenta que hablo con las hijas y que no sienten que sea seguro para ella misma hablar con alguien desconocido. Le conte de manera protocolar que puede acceder a mis datos e informacion pero parece distante y sin animos de querer seguir charlando. 
El miedo hace que tal vez esta sea su reaccion",NO RELEVANTE,traslado preocupacion desconfianza programa voluntariado comenta hablo hijas sienten seguro hablar alguien desconocido conte protocolar acceder datos informacion distante animos querer seguir charlando miedo reaccion,NR
47,"El Sr. Miguel Angel  Ferrari es ciego, pero vive con la esposa que se llama Patricia, necesita que le den la vacuna antigripal, vive en AV.SAN MARTIN 4135 PB, Celular 1532317674",NECESIDADES OPERATIVAS,sr miguel angel ferrari ciego vive esposa llama necesita den vacuna antigripal vive av san _digit_ pb celular _digit_,NEC_OP
48,"Estuve comunicandome con ella via whatsapp vs veces, pero hoy la llame para charlar un rato.  Hable tambien con su esposo.  Estan bien los dos, pero siguen preocupados.  NO LOGRAN CONSEGUIR EL TURNO MEDICO para su esposo que tuvo CANCER DE PROSTATA para que un medico les pueda leer el informe de la ECOGRAFIA que se logro hacer recientemente.    Es la unica preocupacion que los tiene intranquilos.  El resto todo ok.  Yo ya hice vs reclamos pero no logro contactar medico para este tramite de leer los resultados.    No habra alguien en la salita de carapachay que pudiera asistirlo?  Muchas gracias",NECESIDADES OPERATIVAS,comunicandome via whatsapp vs llame charlar rato hable esposo siguen preocupados logran turno medico esposo cancer prostata medico leer informe ecografia logro recientemente unica preocupacion intranquilos resto ok hice vs reclamos logro contactar medico tramite leer resultados alguien salita carapachay pudiera asistirlo,NEC_OP
49,"se encuentra bien por suerte sigue encerrada cuidándose mucho ya que ella tuvo cáncer así que no puede ni asomarse a la calle cansada de todo pero aguantando el marido va hasta capital a retirar los remedios tanto para ella como para la hija que se encuentra internada que al marido la semana pasada arriba del colectivo en liniers le arrebataron  el celular por suerte no fue nada pero ahí tenia todos los permisos y los numero para poder hablar con los médicos pero por suerte están todos bien y no fue nada y no le hicieron nada.
Me dice que el nieto esta feliz con los días fríos y ella los sufre que antes no le pasaba pero que los años no vienen solos jajajaj.
Me agradeció mucho que siempre me acuerde de ella que es una compañía muy linda y es un lindo momento cuando charlamos.",NEGATIVO,suerte encerrada cuidandose cancer asomarse calle cansada aguantando marido capital retirar remedios hija internada marido semana colectivo liniers arrebataron celular suerte permisos numero hablar medicos suerte nieto feliz frios sufre pasaba anos vienen jajajaj agradecio acuerde compania linda lindo charlamos,R
50,no contesta el teléfono,NO RELEVANTE,contesta telefono,NR
51,Se encuentra bien,POSITIVO,,R
52,EL DIA 07/08/2020 SE ENTREGO CUADERNILLO ESTIMULACION COGNITIVA 1,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego cuadernillo estimulacion cognitiva _digit_,NEC_OP
53,"está bien, y muy agradecida de recibir los llamados",POSITIVO,agradecida recibir llamados,R
54,CAJA A DOMICILIO,NECESIDADES OPERATIVAS,caja domicilio,NEC_OP
55,"Llamo a AM, sin respuesta alguna.",NO RELEVANTE,llamo am respuesta,NR
56,HOY HABLE CON MARIA DEL CARMEN Y LAMENTABLEMENTE  FALLECIO EL  HERMANO   HUMBERTO ESTAN MUY MAL ELLLA Y MARTINA,NEGATIVO,hable carmen lamentablemente fallecio hermano humberto ellla,R
57,"Charlamos un rato por telefono y nos reimos un poco con su gatito.  Hablamos de lo que si podemos hacer en pandemia, ej algo solidario, leer libros, y hacer muchas tareas que normalmente no tenemos tiempo.  Ella esta bien de salud, solo hizo una consulta x whatsapp a su medica por dolores de cervical.  Fue un lindo encuentro. Esta de muy buen humor.    Lo que si me pregunto por descuentos en los impuestos y le re envie un whatsapp que recibi de la municipalidad en mayo explicando todo el tema.",POSITIVO,charlamos rato telefono reimos gatito hablamos pandemia ej solidario leer libros tareas normalmente salud consulta whatsapp medica dolores cervical lindo encuentro humor pregunto descuentos impuestos re envie whatsapp recibi municipalidad mayo explicando tema,R
58,Se encuentra bien. Recibió los alimentos.,POSITIVO,recibio alimentos,R
59,Se encuentra bien,POSITIVO,,R
60,muy bien de animo,POSITIVO,animo,R
61,me comunique para ver como estaba o si necesitaba algo y para charlar.,NO RELEVANTE,comunique necesitaba charlar,NR
62,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,NECESIDADES OPERATIVAS,_digit_ _digit_ _digit_ entrego alimentos domicilio,NEC_OP
63,Se realiza el llamado correspondiente. Amelia se encuentra de buen animo y dice que todo esta bien. No necesita nada por el momento. Comentamos un rato esta pandemia que nos toca vivir y charlamos sobre como se siente animicamente y comento que esta muy bien y que se entretiene con la tele y la radio. Quedamos en hacer un próximo llamado en unos días.,POSITIVO,realiza llamado correspondiente amelia animo necesita comentamos rato pandemia toca vivir charlamos siente animicamente entretiene tele radio quedamos llamado,R
64,Realice ficha integral y estuvimos hablando,NO RELEVANTE,realice ficha integral hablando,NR
65,"ESTÁ MUY BIEN, AUNQUE UN POCO ASUSTADA X LOS CONTAGIOS
LA LLAMARON DE LA MUNI X LOS TALLERES, EN EL HORARIO Q LE OFRECIERON ELLA NO PODÍA, SE COMPROMETIERON A LLAMARLA NUEVAMENTE PARA OFRECERLE OTRAS OPCIONES, PERO AL DÍA DE HOY AÚN NO LA LLAMARON",NEGATIVO,asustada contagios llamaron muni talleres horario ofrecieron podia comprometieron llamarla nuevamente ofrecerle opciones llamaron,R
66,HABLE CON KARINA Y TODAVIA NO SE PUDO COMUNICAR CON EL CARDIOLOGO  DEL HOSPITAL PARA HACER LOS ESTUDIOS DE SU MAMA  JULIA,NECESIDADES OPERATIVAS,hable comunicar cardiologo hospital estudios mama julia,NEC_OP
67,13/7/2020 envié whatsapp de seguimiento de acuerdo a lo acordado con la AM,NO RELEVANTE,_digit_ _digit_ _digit_ envie whatsapp seguimiento acuerdo acordado am,NR
68,Todo ok,POSITIVO,ok,R
69,se hablo esta bien le informo que cambio el sist de las cajas q cuando tenga alguna novedad la llamo,POSITIVO,hablo cambio sist cajas novedad llamo,R
70,El TE. de linea no corresponde a un abonado y el celu no lo contesta,NO RELEVANTE,linea corresponde abonado contesta,NR
71,me confunfi de persona. dar de baja a esta mujer porque no anda el telefono,NO RELEVANTE,confunfi persona baja mujer anda telefono,NR
72,Telefono fuera de linea  - Celular no atiende,NO RELEVANTE,telefono linea - celular atiende,NR
73,"PATRICIA, ANGELA BIEN AHORA YA ESTA EN SU CASA ME AVISO PATRICIA CON UN MS. MAÑANA HABLO CON ELLA",POSITIVO,angela casa aviso ms manana hablo,R
74,Sin novedad,NO RELEVANTE,novedad,NR
75,No se encuentra en este momento,NO RELEVANTE,,NR
76,"ANGELA BIEN ESTABA PINTANDO MANDALAS, SU HERMANO LE LLEVO MAS",POSITIVO,angela pintando mandalas hermano llevo,R
77,"11hs:después de varios días de no poder comunicarme,finalmente hablamos un largo rato y me conto que esta muy bien y que no necesita nada ni le interesa ninguna actividad que le ofreci,ya que con su hija y yerno realizan juegos  y otras actividades para pasar el tiempo.Me contó que antes se reunían en el club de barrio un grupo de jubiladas y jugaban a las cartas,etc. y ahora solo se hablan con algunas por teléfono. Estaba contenta y nos agradece que sigamos llamándola para saber como esta",POSITIVO,_digit_hs comunicarme finalmente hablamos rato conto necesita interesa actividad ofreci hija yerno realizan juegos actividades pasar conto reunian club barrio grupo jubiladas jugaban cartas telefono contenta agradece sigamos llamandola,R
78,"ANGELA BIEN, FELIZ DE ESTAR EN SU CASA",POSITIVO,angela feliz casa,R
79,Maria no esta interesada,NO RELEVANTE,interesada,NR
80,informe a pedido de la sec. de desarrollo social q en el dia de mañana le van a entregar la caja de alimentos en su domicilio,NECESIDADES OPERATIVAS,informe pedido sec desarrollo social manana entregar caja alimentos domicilio,NEC_OP
81,llamé pero me atendió el contestador,NO RELEVANTE,llame atendio contestador,NR
82,necesita un plomero trabajo en desarrollo social,NECESIDADES OPERATIVAS,necesita plomero trabajo desarrollo social,NEC_OP
83,Se encuentran bien.  Hablamos  de pintura. Porque el sr es carpintero. Me asesoró para pintar unas sillas.,POSITIVO,encuentran hablamos pintura sr carpintero asesoro pintar sillas,R
84,Se entrega Alimentos  en domicilio 14/8/20.,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
85,"irene esta bien, con su esposo, es muy activa. siempre de buen animo.",POSITIVO,irene esposo activa animo,R
86,Llamada muy animada y divertida,POSITIVO,llamada animada divertida,R
87,"la Sra. está muy bien, dice que no necesita nada y tiene mi teléfono agendado por cualquier cosa.",POSITIVO,necesita telefono agendado cosa,R
88,"Deje mensaje, volveré a llamar.",NO RELEVANTE,deje mensaje volvere llamar,NR
89,llamado realizado no necesita nada.,NEUTRAL,llamado necesita,NR
90,Hable con Amelia. Me atendió muy bien y charlamos un rato. Me comento que esta bien y no necesita ninguna asistencia.,POSITIVO,hable amelia atendio charlamos rato necesita asistencia,R
91,"Primer llamado: va a pensar acerca de la propuesta.
Lo llamaré en un par de días",NO RELEVANTE,llamado pensar acerca propuesta llamare par,NR
92,28/8 Llamado,NO RELEVANTE,_digit_ _digit_ llamado,NR
93,SE ENTREGA ALIMENTOS EN DOMICILIO EL 08/07/2020,NECESIDADES OPERATIVAS,entrega alimentos domicilio _digit_ _digit_ _digit_,NEC_OP
94,No contesto el llamado.,NO RELEVANTE,contesto llamado,NR
95,No responde,NO RELEVANTE,responde,NR
96,Está tranquilo y de buen humor,POSITIVO,tranquilo humor,R
97,"No necesita que la llamé, ya tiene asistencia, dice que se lo mencionó a la voluntaria anterior. Le dí mi teléfono x cualquier consulta.",NO RELEVANTE,necesita llame asistencia voluntaria di telefono consulta,NR
98,Paso a retirar recetas por su casa y las llevo a la farmacia. Vuelvo a dejarle los medicamentos.,NECESIDADES OPERATIVAS,paso retirar recetas casa llevo farmacia vuelvo dejarle medicamentos,NEC_OP
99,El Sr Bernini se encuentra bien y cuidado por su hija que vive con el. Dice no necesitar nada y agradece la llamada.,POSITIVO,sr bernini cuidado hija vive necesitar agradece llamada,R
100,preocupada por la situación de recuperación de la operación de su nuera. Tiene contención familiar.,NEGATIVO,preocupada situacion recuperacion operacion nuera contencion familiar,R
101,Se entrega material cognitivo en domicilio 24/7/20.,NECESIDADES OPERATIVAS,entrega material cognitivo domicilio _digit_ _digit_ _digit_,NEC_OP
102,"Se encuentra bien, cansado del encierro, pero en gral. bien.",NEGATIVO,cansado encierro gral,R
103,"Nos conectamos todas las semanas por llamado y también por wasapp,",NO RELEVANTE,conectamos semanas llamado wasapp,NR
104,"no atiende nadie
saludos",NO RELEVANTE,atiende saludos,NR
105,Llamados a adultos mayores en la fecha.,NO RELEVANTE,llamados adultos mayores fecha,NR
106,"se encuentra bien con su familia
agradece el llamado
saludos",POSITIVO,familia agradece llamado saludos,R
107,"Llamo a AM, sin respuesta alguna y es el cuarto día de llamado. Procedo a indicar en el caso ""Se mudo"".",NO RELEVANTE,llamo am respuesta cuarto llamado procedo indicar caso mudo,NR
108,Lo llame para avisarle que si la sobrina va a retirar la caja de alimentos dan números y charlamos un ratito.,NECESIDADES OPERATIVAS,llame avisarle sobrina retirar caja alimentos numeros charlamos ratito,NEC_OP
109,Sin novedad,NO RELEVANTE,novedad,NR
110,"llame a Susi para ver como estaba, ella tiene toda la medicacion y ademas ya fe vacunada...estaba un poco bajoneada, pero por suerte charlamos y se animo bastante.",NEGATIVO,llame susi medicacion fe vacunada bajoneada suerte charlamos animo,R
111,"En el día de hoy, entré en contacto con la hija (Adriana), ella está viviendo con él y acompañándolo durante la pandemia. Ella comentó estar en contacto con Emilse de la Municipalidad (también del programa de asistencia a AM), con quién está coordiando un tema de remedios y recetas.",NEUTRAL,contacto hija viviendo acompanandolo pandemia contacto emilse municipalidad programa asistencia am coordiando tema remedios recetas,NR
112,no contesta,NO RELEVANTE,contesta,NR
113,Se encuentra muy bien,POSITIVO,,R
114,Habrá algún otro dato para poder contactar a este adulto mayor?  el único telefóno que aparece es inválido.,NO RELEVANTE,contactar adulto unico telefono aparece invalido,NR
115,"hable con zule y ella esta bien, estaba un poco triste x que operaron a su perrita. pero todo salio bien.",NEGATIVO,hable zule triste operaron perrita salio,R
116,Se encuentra muy bien la Sra.  Tranquilos.,POSITIVO,tranquilos,R
117,La señora se anoto en el taller de bordado y está muy contenta con la profesora Paula,POSITIVO,senora anoto taller bordado contenta profesora paula,R
118,le mando por whastapp los ejercicios cognitivos,NECESIDADES OPERATIVAS,mando whastapp ejercicios cognitivos,NEC_OP
119,se encuentra bien. me pidio que le envien los alimentos,NECESIDADES OPERATIVAS,pidio envien alimentos,NEC_OP
120,"Buenas tardes. Hable con la Sra. Graciela, esta bien junto a su madre, conforme como se están manejando el tema de la entrega de la caja de alimentos a domicilio.
Muchas Gracias",POSITIVO,tardes hable madre conforme manejando tema entrega caja alimentos domicilio,R
121,"En el día de la fecha llame varias veces nadie contestó, intentaré nuevamente más tarde.",NO RELEVANTE,fecha llame contesto intentare nuevamente,NR
